說明	專案名稱(注意事項：請在名稱的開頭與結尾皆用單引號框起來)	專案類別，1:設計, 2:音樂, 3:教育,4:科技, 5:生活	目標金額	現在金額	開始日期	結束日期	主圖片	產品資訊與介紹，以json儲存，簡短介紹("intro")·詳細內容("content"), 聯絡方式("contact"), intro_img1~intro_img5	提案人，儲存會員ID	贊助者數目	被追蹤數
長度限制	20	2	?	?	無	12	30	無			
id	name	category	goal_money	now_money	begin_date	end_date	main_img	info	organizer	sponsor_num	tracking_num
1	韓寶，一款真正人性化的智能語音 | 能說能唱 一台就給全家好心情'	4	500	600	2021-05-31 22:08:26	2021-06-12 0:00:00	main_img.jpg	{"intro": "想必大家都能了解智能語音的重要性。當你搞懂後就會明白了。智能語音的出現，必將帶領人類走向更高的巔峰。", "contact": "886-2-27333141 <br> 0800-695995", "content": "問題的關鍵看似不明確，但想必在諸位心中已有了明確的答案。其實，若思緒夠清晰，那麼韓寶也就不那麼複雜了。叔本華在不經意間這樣說過，從根本上說，只有我們獨立自主的思索，才真正具有真理和生命。因為，惟有它們才是我們反复領悟的東西。他人的思想就像加別人饗桌上的殘羹，就像陌生客人挪下的衣衫。希望大家實際感受一下這段話。而這些並不是完全重要，更加重要的問題是，儘管如此，別人往往卻不這麼想。由於，韓寶究竟是怎麼樣的存在，始終是個謎題。就我個人來說，韓寶對我的意義，不能不說非常重大。這是不可避免的。儘管如此，我們仍然需要對韓寶保持懷疑的態度。", "intro_img": {"1": "intro_img1.jpg", "2": "", "3": "", "4": "", "5": ""}}	1	0	1
2	[CKU] 野雞大學，不願成為學歷工廠的大學典範'	3	10000	1000	2021-06-01 22:08:26	2021-06-13 0:00:00	main_img.jpg	{"intro": "野雞大學的存在，令我無法停止對他的思考。若無法徹底理解野雞大學，恐怕會是人類的一大遺憾。對我個人而言，野雞大學不僅僅是一個重大的事件，還可能會改變我的人生。", "contact": "886-2-27333141 <br> 0800-695995", "content": "波特在過去曾經講過，人生是由哽咽哭泣及微笑所組成的一段過程，而其中更大的部分是哽咽。這句話把我們帶到了一個新的維度去思考這個問題。生活中，若野雞大學出現了，我們就不得不考慮它出現了的事實。既然如此，我們需要淘汰舊有的觀念，普卡利西爾告訴我們，中斷了的友誼，應當說本來就沒有友誼。他會這麼說是有理由的。如果仔細思考野雞大學，會發現其中蘊含的深遠意義。若發現問題比我們想像的還要深奧，那肯定不簡單。這樣看來，老子講過一句值得人反覆尋思的話，大直若屈，大巧若拙，大辨若訥。希望大家能發現話中之話。 肖伯納相信，一個洩露秘密的人是別人的奴僕。這句話看似簡單，但其中的陰鬱不禁讓人深思。", "intro_img": {"1": "intro_img1.png", "2": "intro_img2.png", "3": "intro_img3.png", "4": "intro_img4.jpg", "5": "intro_img5.png"}}	1	100	5
3	Rupert智慧pizza製造器 | 能製作百種pizza'	4	1000000	632620	2021-06-02 22:08:26	2021-06-14 0:00:00	main_img.jpg	{"intro": " 對於一般人來說，pizza究竟象徵著什麼呢？現在，正視pizza的問題，是非常非常重要的。因為，若到今天結束時我們都還無法釐清pizza的意義，那想必我們昨天也無法釐清。", "contact": "Tel: 886-2-27333141 <br> 0800-695995", "content": "麥金托什曾說過，諺語是民族良知的精華。這句話令我不禁感慨問題的迫切性。羅貫中曾經說過，言過其實，不可大用。這段話非常有意思。若能夠欣賞到pizza製造機的美，相信我們一定會對pizza製造機改觀。老舊的想法已經過時了。深入的探討pizza製造機，是釐清一切的關鍵。pizza製造機，到底應該如何實現。鄒韜奮曾說過一句意義深遠的話，友誼是天地間最可寶貴的東西，深摯的友誼是人生最大的一種安慰。這段話看似複雜，其中的邏輯思路卻清晰可見。pizza製造機究竟是怎麼樣的存在，始終是個謎題。每個人都不得不面對這些問題。在面對這種問題時，務必詳細考慮pizza製造機的各種可能。俗話說的好，掌握思考過程，也就掌握了pizza製造機。在人生的歷程中，pizza製造機的出現是必然的。，歡迎投資", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	1	0	50
4	Kubrick guitar | 市面上質感最好的木製吉他'	2	5555	10656	2021-06-03 22:08:26	2021-06-15 0:00:00	main_img.jpg	{"intro": "木吉他對我的意義，不能不說非常重大。我們普遍認為，若能理解透徹核心原理，對其就有了一定的了解程度。如果仔細思考木吉他，會發現其中蘊含的深遠意義。", "contact": "886-2-27333141 <br> 0800-695995", "content": "在這種困難的抉擇下，本人思來想去，寢食難安。若到今天結束時我們都還無法釐清木吉他的意義，那想必我們昨天也無法釐清。德謨克利特曾提出，不要企圖無所不知，否則你將一無所知。這讓我對於看待這個問題的方法有了巨大的改變。帶著這些問題，我們一起來審視木吉他。我們需要淘汰舊有的觀念，透過逆向歸納，得以用最佳的策略去分析木吉他。如果仔細思考木吉他，會發現其中蘊含的深遠意義。動機，可以說是最單純的力量。那麼，可是，即使是這樣，木吉他的出現仍然代表了一定的意義。木吉他可以說是有著成為常識的趨勢。把木吉他輕鬆帶過，顯然並不適合。木吉他的出現，重寫了人生的意義。高爾基講過一段耐人尋思的話，華麗的裝飾，精美的食品，填補不了精神的空虛; 一個真正的革命者，首先追求的是思想上的充實和豐富。這一點，是任何珍貴的東西都不能代替的。這激勵了我。", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	2	50	10
5	Yushan台灣茶 | 經研究證實可抑制covid 19'	5	42424	50000	2021-06-04 22:08:26	2021-06-16 0:00:00	main_img.jpg	{"intro": "如果此時我們選擇忽略Yushan台灣茶，那後果可想而知。我們可以很篤定的說，這需要花很多時間來嚴謹地論證。", "contact": "886-2-27333141 <br> 0800-695995", "content": "只要台茶一入口，Covid-19不找我。愛默生曾說過，你們認為我是命運之子：實際上，我卻在創造著自己的命運。這句話幾乎解讀出了問題的根本。由於，劉少奇說過一句發人省思的話，真理氣壯，永遠不怕真理，勇敢地擁護真理，把真理告訴別人，為真理而戰鬥。這段話的餘韻不斷在我腦海中迴盪著。儘管Yushan台灣茶看似不顯眼，卻佔據了我的腦海。Yushan台灣茶勢必能夠左右未來。每個人都不得不面對這些問題。在面對這種問題時，務必詳細考慮Yushan台灣茶的各種可能。愛迪生曾說過，謙虛不僅是一種裝飾品，也是美德的護衛。他會這麼說是有理由的。若無法徹底理解Yushan台灣茶，恐怕會是人類的一大遺憾。我們可以很篤定的說，這需要花很多時間來嚴謹地論證。總而言之，看看別人，再想想自己，會發現問題的核心其實就在你身旁。", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	2	50	888
6	新世紀桌遊 | 保證是21世紀最好玩的桌上遊戲'	1	8763	99999	2021-06-04 22:08:26	2021-06-17 0:00:00	main_img.jpg	{"intro": "每個人都不得不面對這些問題。在面對這種問題時，務必詳細考慮桌遊的各種可能。而這些並不是完全重要，更加重要的問題是，桌遊可以說是有著成為常識的趨勢。", "contact": "886-2-27333141 <br> 0800-695995", "content": "易卜生曾經提到過，真理的精神和自由的精神才是社會的支柱。這啟發了我。俗話說的好，掌握思考過程，也就掌握了新世紀桌遊。培根曾說過，在一切大事業上，人在開始做事前要像千眼神那樣察看時機，而在進行時要像千手神那樣抓住時機。這不禁令我重新仔細的思考。若能夠洞悉新世紀桌遊各種層面的含義，勢必能讓思維再提高一個層級。這是不可避免的。新世紀桌遊對我來說，已經成為了我生活的一部分。做好新世紀桌遊這件事，可以說已經成為了全民運動。新世紀桌遊的發生，到底需要如何實現，不新世紀桌遊的發生，又會如何產生。新世紀桌遊的出現，必將帶領人類走向更高的巔峰。若發現問題比我們想像的還要深奧，那肯定不簡單。如果別人做得到，那我也可以做到。儘管新世紀桌遊看似不顯眼，卻佔據了我的腦海。而這些並不是完全重要，更加重要的問題是，陳毅曾經說過，大雪壓青松，青松挺且直。但願諸位理解後能從中有所成長。", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	2	50	888
7	火神的眼淚 | 幫助失學瓦基成為打火英雄'	5	8763	1232556	2021-06-06 22:08:26	2021-06-18 0:00:00	main_img.jpg	{"intro": "問題的關鍵究竟為何？深入的探討打火英雄，是釐清一切的關鍵。波德萊爾曾經提過，沒有一件工作是曠日持久的，除了那件你不敢拌著手進行的工作。", "contact": "886-2-27333141 <br> 0800-695995", "content": "本人也是經過了深思熟慮，在每個日日夜夜思考這個問題。老舊的想法已經過時了。毛澤東曾經說過，幹勁一定要有，假話一定不可講。這句話語雖然很短，但令我浮想聯翩。說到瓦基成為打火英雄，你會想到什麼呢？我們不妨可以這樣來想: 就我個人來說，瓦基成為打火英雄對我的意義，不能不說非常重大。我們要從本質思考，從根本解決問題。我們都知道，只要有意義，那麼就必須慎重考慮。而這些並不是完全重要，更加重要的問題是，俗話說的好，掌握思考過程，也就掌握了瓦基成為打火英雄。費孝通講過一段耐人尋思的話，在父母的眼中，孩子常是自我的一部分，子女是他理想自我再來一次的機會。希望各位能用心體會這段話。我想，把瓦基成為打火英雄的意義想清楚，對各位來說並不是一件壞事。在人生的歷程中，瓦基成為打火英雄的出現是必然的。", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	3	99	123
8	沉睡的美人 | 地方的公主需要你來喚醒'	5	9958	9959559	2021-06-04 22:08:26	2021-06-19 0:00:00	main_img.jpg	{"intro": "維吉爾告訴我們，勞動征服一切。這段話非常有意思。可是，即使是這樣，沉睡的出現仍然代表了一定的意義。這必定是個前衛大膽的想法。", "contact": "886-2-27333141 <br> 0800-695995", "content": "如果此時我們選擇忽略喚醒地方公主，那後果可想而知。喚醒地方公主的存在，令我無法停止對他的思考。馬格曾說過，劍就是我們的雄辯家。這句話看似簡單，但其中的陰鬱不禁讓人深思。而這些並不是完全重要，更加重要的問題是，儘管喚醒地方公主看似不顯眼，卻佔據了我的腦海。喚醒地方公主究竟是怎麼樣的存在，始終是個謎題。鄭觀應講過，欲致富，必首在振工商。這段話對世界的改變有著深遠的影響。我們都有個共識，若問題很困難，那就勢必不好解決。這種事實對本人來說意義重大，相信對這個世界也是有一定意義的。問題的核心究竟是什麼？我們要學會站在別人的角度思考。世界需要改革，需要對喚醒地方公主有新的認知。在人類的歷史中，我們總是盡了一切努力想搞懂喚醒地方公主。我們普遍認為，若能理解透徹核心原理，對其就有了一定的了解程度。", "intro_img": {"1": "", "2": "", "3": "", "4": "", "5": ""}}	3	1	999
